column_name,dtype,non_null_count,missing_count,unique_count,sample_values,min,max
member_id,object,84,0,84,M1000 | M1001 | M1002,,
index_date,object,84,0,1,2025-09-30 | 2025-09-30 | 2025-09-30,,
sex,object,84,0,2,F | M | M,,
plan_type,object,84,0,3,Commercial HMO | Medicare Advantage | ACA Exchange,,
lob,object,84,0,3,Commercial | Commercial | Exchange,,
metro_region,object,84,0,7,Dallas-Fort Worth | Miami Metro | Dallas-Fort Worth,,
diabetes_flag,int64,84,0,2,1 | 0 | 1,0.0,1.0
age_at_index,float64,84,0,78,60.5 | 49.0 | 23.3,23.2,76.6
lb_3m_claim_count,float64,84,0,5,1.0 | 0.0 | 0.0,0.0,4.0
lb_3m_paid_amt_sum,float64,84,0,49,516.02 | 0.0 | 0.0,0.0,20454.22
lb_3m_er_claim_count,float64,84,0,3,0.0 | 0.0 | 0.0,0.0,2.0
lb_3m_pcp_visit_count,float64,84,0,4,1.0 | 0.0 | 0.0,0.0,3.0
lb_3m_inpatient_claim_flag_sum,float64,84,0,2,0.0 | 0.0 | 0.0,0.0,1.0
lb_3m_er_visit_count,float64,84,0,2,0.0 | 0.0 | 1.0,0.0,1.0
lb_3m_inpatient_visit_count,float64,84,0,3,0.0 | 0.0 | 0.0,0.0,2.0
lb_3m_observation_visit_count,float64,84,0,2,0.0 | 0.0 | 0.0,0.0,1.0
lb_3m_los_sum,float64,84,0,8,0.0 | 0.0 | 0.0,0.0,7.0
lb_3m_avoidable_visit_count,float64,84,0,2,0.0 | 0.0 | 1.0,0.0,1.0
lb_3m_rx_fill_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_chronic_med_fill_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_avg_pdc,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_unique_drug_class_count,int64,84,0,1,0 | 0 | 0,0.0,0.0
lb_3m_call_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_escalated_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_open_issue_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_negative_sentiment_count,int64,84,0,1,0 | 0 | 0,0.0,0.0
lb_6m_claim_count,float64,84,0,6,1.0 | 1.0 | 1.0,0.0,5.0
lb_6m_paid_amt_sum,float64,84,0,68,516.02 | 469.94 | 173.64,0.0,22190.62
lb_6m_er_claim_count,float64,84,0,4,0.0 | 0.0 | 0.0,0.0,3.0
lb_6m_pcp_visit_count,float64,84,0,4,1.0 | 1.0 | 1.0,0.0,3.0
lb_6m_inpatient_claim_flag_sum,float64,84,0,2,0.0 | 0.0 | 0.0,0.0,1.0
lb_6m_er_visit_count,float64,84,0,2,0.0 | 1.0 | 1.0,0.0,1.0
lb_6m_inpatient_visit_count,float64,84,0,3,0.0 | 1.0 | 1.0,0.0,2.0
lb_6m_observation_visit_count,float64,84,0,2,0.0 | 0.0 | 0.0,0.0,1.0
lb_6m_los_sum,float64,84,0,13,0.0 | 4.0 | 7.0,0.0,13.0
lb_6m_avoidable_visit_count,float64,84,0,3,0.0 | 0.0 | 1.0,0.0,2.0
lb_6m_rx_fill_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_chronic_med_fill_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_avg_pdc,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_unique_drug_class_count,int64,84,0,1,0 | 0 | 0,0.0,0.0
lb_6m_call_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_escalated_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_open_issue_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_negative_sentiment_count,int64,84,0,1,0 | 0 | 0,0.0,0.0
transport_issue,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
food_issue,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
housing_issue,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
financial_issue,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
social_isolation,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
digital_access,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
eligibility_start,object,84,0,79,2024-03-25 | 2025-01-16 | 2024-08-19,,
eligibility_end,object,84,0,76,2026-08-12 | 2027-01-18 | 2026-11-05,,
label_window_start,object,84,0,1,2025-10-01 | 2025-10-01 | 2025-10-01,,
label_window_end,object,84,0,1,2026-03-31 | 2026-03-31 | 2026-03-31,,
inpatient_hospital_visit_count_next_6m,int64,84,0,3,2 | 0 | 0,0.0,2.0
first_inpatient_hospital_visit_dt_next_6m,object,29,55,27,2025-11-25 | 2026-01-26 | 2025-12-23,,
inpatient_hospital_visit_next_6m,int64,84,0,2,1 | 0 | 0,0.0,1.0
days_until_first_inpatient_hospital_visit_next_6m,float64,29,55,27,56.0 | 118.0 | 84.0,8.0,180.0
eligible_for_full_lookforward_window,int64,84,0,1,1 | 1 | 1,1.0,1.0
inpatient_hospitalization_risk_probability,float64,84,0,84,0.3488521651126731 | 0.0546989377540811 | 0.0912022658517008,7.919257525174654e-05,0.9983189716348544
explanation_method,object,84,0,1,linear_contribution_fallback | linear_contribution_fallback | linear_contribution_fallback,,
top_driver_1_feature,object,84,0,10,lob_medicare | metro_region_miami metro | lb_6m_avoidable_visit_count,,
top_driver_1_value,float64,84,0,5,0.0 | 1.0 | 1.0,0.0,17529.74
top_driver_1_contribution,float64,84,0,13,1.058949090103834 | 1.8870923121169416 | 1.4854932055722687,-3.219350338053545,3.565183693373445
