column_name,dtype,non_null_count,missing_count,unique_count,sample_values,min,max
member_id,object,84,0,84,M1000 | M1001 | M1002,,
index_date,object,84,0,1,2025-09-30 | 2025-09-30 | 2025-09-30,,
sex,object,84,0,2,F | M | M,,
plan_type,object,84,0,3,Commercial HMO | Medicare Advantage | ACA Exchange,,
lob,object,84,0,3,Commercial | Commercial | Exchange,,
metro_region,object,84,0,7,Dallas-Fort Worth | Miami Metro | Dallas-Fort Worth,,
diabetes_flag,int64,84,0,2,1 | 0 | 1,0.0,1.0
age_at_index,float64,84,0,78,60.5 | 49.0 | 23.3,23.2,76.6
lb_3m_claim_count,float64,84,0,5,1.0 | 0.0 | 0.0,0.0,4.0
lb_3m_paid_amt_sum,float64,84,0,49,516.02 | 0.0 | 0.0,0.0,20454.22
lb_3m_er_claim_count,float64,84,0,3,0.0 | 0.0 | 0.0,0.0,2.0
lb_3m_pcp_visit_count,float64,84,0,4,1.0 | 0.0 | 0.0,0.0,3.0
lb_3m_inpatient_claim_flag_sum,float64,84,0,2,0.0 | 0.0 | 0.0,0.0,1.0
lb_3m_er_visit_count,float64,84,0,2,0.0 | 0.0 | 1.0,0.0,1.0
lb_3m_inpatient_visit_count,float64,84,0,3,0.0 | 0.0 | 0.0,0.0,2.0
lb_3m_observation_visit_count,float64,84,0,2,0.0 | 0.0 | 0.0,0.0,1.0
lb_3m_los_sum,float64,84,0,8,0.0 | 0.0 | 0.0,0.0,7.0
lb_3m_avoidable_visit_count,float64,84,0,2,0.0 | 0.0 | 1.0,0.0,1.0
lb_3m_rx_fill_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_chronic_med_fill_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_avg_pdc,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_unique_drug_class_count,int64,84,0,1,0 | 0 | 0,0.0,0.0
lb_3m_call_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_escalated_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_open_issue_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_3m_negative_sentiment_count,int64,84,0,1,0 | 0 | 0,0.0,0.0
lb_6m_claim_count,float64,84,0,6,1.0 | 1.0 | 1.0,0.0,5.0
lb_6m_paid_amt_sum,float64,84,0,68,516.02 | 469.94 | 173.64,0.0,22190.62
lb_6m_er_claim_count,float64,84,0,4,0.0 | 0.0 | 0.0,0.0,3.0
lb_6m_pcp_visit_count,float64,84,0,4,1.0 | 1.0 | 1.0,0.0,3.0
lb_6m_inpatient_claim_flag_sum,float64,84,0,2,0.0 | 0.0 | 0.0,0.0,1.0
lb_6m_er_visit_count,float64,84,0,2,0.0 | 1.0 | 1.0,0.0,1.0
lb_6m_inpatient_visit_count,float64,84,0,3,0.0 | 1.0 | 1.0,0.0,2.0
lb_6m_observation_visit_count,float64,84,0,2,0.0 | 0.0 | 0.0,0.0,1.0
lb_6m_los_sum,float64,84,0,13,0.0 | 4.0 | 7.0,0.0,13.0
lb_6m_avoidable_visit_count,float64,84,0,3,0.0 | 0.0 | 1.0,0.0,2.0
lb_6m_rx_fill_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_chronic_med_fill_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_avg_pdc,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_unique_drug_class_count,int64,84,0,1,0 | 0 | 0,0.0,0.0
lb_6m_call_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_escalated_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_open_issue_count,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
lb_6m_negative_sentiment_count,int64,84,0,1,0 | 0 | 0,0.0,0.0
transport_issue,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
food_issue,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
housing_issue,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
financial_issue,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
social_isolation,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
digital_access,float64,84,0,1,0.0 | 0.0 | 0.0,0.0,0.0
