call_id,member_id,first_name,last_name,birth_date,zip_code,contact_date,reason,sentiment,issue_open,escalated
CALL-M1000-01,M1000,Ava,Nguyen,1965-04-08,75201,2026-02-22,transportation_support,neutral,0,0
CALL-M1000-02,M1000,Ava,Nguyen,1965-04-08,75201,2026-03-01,transportation_support,neutral,0,0
CALL-M1002-01,M1002,Sophia,Adams,2002-06-20,75201,2026-03-13,benefit_question,positive,0,0
CALL-M1002-02,M1002,Sophia,Adams,2002-06-20,75201,2026-01-05,transportation_support,positive,0,0
CALL-M1002-03,M1002,Sophia,Adams,2002-06-20,75201,2025-10-23,transportation_support,neutral,0,0
CALL-M1004-01,M1004,Mia,Clark,1968-01-08,75201,2025-10-24,pcp_scheduling,positive,0,0
CALL-M1005-01,M1005,Elijah,Allen,1985-07-19,77002,2026-02-15,medication_refill,neutral,0,0
CALL-M1006-01,M1006,Isabella,Young,1972-07-20,32801,2025-10-17,transportation_support,positive,0,0
CALL-M1007-01,M1007,Lucas,Young,1975-03-15,75201,2025-12-02,medication_refill,negative,1,0
CALL-M1007-02,M1007,Lucas,Young,1975-03-15,75201,2026-01-11,pcp_scheduling,positive,0,0
CALL-M1011-01,M1011,Ethan,Wright,1988-01-08,75201,2025-10-21,transportation_support,neutral,0,0
CALL-M1011-02,M1011,Ethan,Wright,1988-01-08,75201,2025-10-20,benefit_question,neutral,0,0
CALL-M1012-01,M1012,Charlotte,Young,1960-02-04,30303,2025-11-12,billing_issue,negative,1,1
CALL-M1013-01,M1013,James,Clark,1954-04-07,30303,2025-12-27,care_coordination,positive,0,0
CALL-M1013-02,M1013,James,Clark,1954-04-07,30303,2026-01-15,transportation_support,neutral,0,0
CALL-M1013-03,M1013,James,Clark,1954-04-07,30303,2026-03-07,pcp_scheduling,positive,0,0
CALL-M1014-01,M1014,Amelia,Baker,1953-04-06,30303,2025-10-24,billing_issue,negative,1,1
CALL-M1015-01,M1015,Benjamin,Baker,1992-12-26,77002,2025-10-13,transportation_support,negative,1,1
CALL-M1016-01,M1016,Harper,Brown,1981-03-02,85004,2026-01-22,medication_refill,negative,1,0
CALL-M1017-01,M1017,Logan,Allen,1974-11-19,32801,2025-12-04,transportation_support,negative,1,0
CALL-M1017-02,M1017,Logan,Allen,1974-11-19,32801,2025-11-17,medication_refill,positive,0,0
CALL-M1018-01,M1018,Evelyn,Flores,1987-10-04,75201,2025-12-27,pcp_scheduling,neutral,0,0
CALL-M1018-02,M1018,Evelyn,Flores,1987-10-04,75201,2025-12-30,medication_refill,positive,0,0
CALL-M1019-01,M1019,Daniel,Flores,1999-11-17,85004,2026-03-29,pcp_scheduling,neutral,0,0
CALL-M1019-02,M1019,Daniel,Flores,1999-11-17,85004,2026-03-11,pcp_scheduling,positive,0,0
CALL-M1019-03,M1019,Daniel,Flores,1999-11-17,85004,2026-02-28,transportation_support,negative,1,1
CALL-M1021-01,M1021,Liam,Lee,1964-03-24,32801,2025-11-28,medication_refill,positive,0,0
CALL-M1021-02,M1021,Liam,Lee,1964-03-24,32801,2025-12-15,transportation_support,neutral,0,0
